freeMints,address
1,0xe76c9FE623d7a8b08c76316e382a11784dDCd881
1,0xeB33199Dc5d34fB0E30FA3aB04e9dd08dCa5c602
1,0x5FFbD158745d3c9CB66638bC00242095eD1ac228
1,0xd0B53667F44E1f57EBB971dCd4cA2f64EA4DFAB8
1,0xc56993491EB1FA12C17863f922A8393de8aB4413
1,0xFC37ab819e23d2510fE16DC8e3020d381B2addD2
1,0xA3A1A0640C7f71FA3DCAedE155c34d59bfeC8C56
1,0x423c5D1C463459B2064abA7727B30A5c17D9D660
1,0x10a76da604Bc4fa936ce53875d7Eb07ac829c715
1,0xe302C6fF29071f33BdB1cd676C82E0777dFc30b9
1,0x6d7EBE28A017F2EB7035e807CFF3D0E29Ead582E
1,0xd38c49063dBbAbDef408586aE65a982D70e84101
1,0xA96b5981D8535CCb57E5fa30e926896415Bc00d4
1,0x4f4d6de3c6E7F26ac42206FCfe590d265Dc8e65D
1,0xd2DC261873897aAf3d34C4b7980e0a3F6118B49a
1,0x77e2b69af76D1c24e42b2622Ad81D1b6c6a02DA6
1,0x196B473f7D74820029e269A98baf3517c463fA89
1,0x7B9F6D6891F1a6DB3c179C76a9e776397A636FAd
1,0xB3FBA02196F6763e3131a9F9Ed7A06fe4A1E26Ee
1,0x8c16Ba92f89796b51904590d74D91ad35e3c8b06
1,0xb3206644549BB7592fFB475ADE480f4bb7FE3cc4
1,0x6c531b662Dd86A23d403CB9BCE7086b78CEb6128
1,0xf1B7cafBb0174C35036Af96111937d2C84955fF7
1,0x28E5b8D6028e945F88660de0091Dd9108e7876c8
1,0x0FCabAE778c79aAA22C4e1521C13155948F78470
1,0xF4B8B10999AFE08966AA4A1d9A6596fB1697f2be
1,0xd91F1bb3e2afC979e0ae2eB09C571B8E9250Ae4c
1,0x01a0f471541c31e394Ec5150371294dcA3BD71d7
1,0xFF76e47a48eB7398a2846FC9cF04a4B82EF6fE12
1,0x287Cb2eB9E048bbaba7C0709520f68610367Eba4
1,0xE60bA3Dc90dA4148C9497a86811be2c7B1F609e1
1,0xD69b72198dA247bD42Cfdf048a729103a5614846
1,0xc30068909232E59bc61dE5207f3Ec148EeD90794
1,0x4077a7a31ddaB03aeb20B5881e2BA4fA9AcaF85e
1,0x13fF4dB46352819669094260277E1c852C992a8C
1,0xFC8DA4F4787cD39D2cD2d22Da2132371b7da91D5
1,0xc9e4847C1aA59b0ef84e91da6462D1B61356978C
1,0x37a54D274fF9551336f40312cBfd4c0b8354fAEE
1,0x0E5C6CFFFA8ABBE923FB9906ed59006EBF015BCD
1,0x0cAF40437269caC99B47F6Eaf19BD04B17024d76
1,0x557844cc71c128F35255b3565CC421e8C0e150db
1,0x599484AA62b14316f65f1a83191597C91D355b21
1,0x8eE6cdF80BC152E0369e6b8B7bE2F2c95fd415B5
1,0x2F529F42E36DA5981D9c5E4c6B7825D52cB785fB
1,0xf839a19a15F133A798A08c6631b982fb0B246f0C
1,0xe23D1063696E2D5d05D87a7776123885015f09B0
1,0xF22b7eE6a0f970264A4B104f5B0971958139755F
1,0x8b94eC6215A6EcD1588a1a520c8bd8B9E0b22d0B
1,0x70E3A029049269084229e7A6EB709c58B907225F
1,0xBD5e8F90a594D7fB2bd6577Db0B67e3DbE835f41
1,0x4d9be487a31987B94777F1F32F473105cbFf271f
1,0xA3a648CB36Fe36BA3aA48f1D54365fE696944C6d
1,0x75fF1235fa3a7D14cA28FbdE3eC80007fBa14cf2
1,0xA0841125C30fa41bcA17CF2c17b79d0e302D0701
1,0x8f3430EaB848B06543722a9a65Bb790D1b14b6A8
1,0xbf86D17901f1251C9fca0f5Be77C46726057625b
1,0x57f2b53038F1A44cA2E1D8f4265FC1199608539A
1,0xf8D3125a401B612631a8e96f7b20500fd074614e
1,0x9B5f6A76BCf9792E331b47D918940d6668C1310A
1,0x6e21771757A94244902370cD022B5d1f6F425563
1,0xe0A9301515844c078a26E4920F2a73E4864E20B7
1,0xEa9fC2cf062fA687A689E6A92F67d447409427B1
1,0xce790c37f395C70951A9688eC241480fCF091dDE
1,0x0e440dD5B88b17Ac1C9A5fB68E3420bDaC7F8cd0
1,0x3dD27d154a640E578C3BdA215590C479ec372563
1,0x61158B10aA1c89e98d5957B1f74Fdc8660D0cE9d
1,0x825f8787CD40C75A2a44C2Dc9c10050D47173b67
1,0x62d01850FA142bC1126Bc0fE2696100571c22826
1,0x038E7059e0FDab8909Ad0645E657233B54510D23
1,0x6277375debB94959D28145Cc9BD264dC08736a9d
1,0x84f734c6c6fe7bB628E0Ff04Ff0a5776B8D68F9F
1,0xE7eF67878eCA70726a608Eb37156E2d4B72E01fF
1,0x19694104253Ee9B75DC693DAAB8e4B2C8EEB5DCb
1,0x1697d99842F0908d8e2D5e9eAa018b190027E1A3
1,0x42e84F0bCe28696cF1D254F93DfDeaeEB6F0D67d
1,0xBc09716f78c97f9A07821d3AEc752512228Ea17D
1,0xd585B53DeC63C21720E551C398F00DC46F3D82c5
1,0x554c5AF69674B1538b142c43b8110bB050FfAe8A
1,0x0c2481275D646730dE400Eb509251B1B6d1D204B
1,0xc415b7B021DDCE9771A1FB0e6D3f8e3387c9C3F8
1,0xD9d2a03Bc5aaFAd9Ee519bFE14Cf23C2842131C0
1,0x7ABb1Ffd561c87c586a5A374360d7B77f2259e87
1,0xdb1F7BBD4f81dabdf80A85d73Ac721d62309B510
1,0x3C7838665Ff8215c95500E1a6306e19E146674a0
1,0xE4Bc5047e0B0954772d0ff9175d87B6314cF0f5A
1,0xe9E11c8baCf1B3F6D384d4cAf89bFBb9Fb242EE2
1,0xA30Da0c29205ee5C88832DfFD200d837e33F2701
1,0xF9a40A2235Bd0a4Acb79364c76a3103F7CEE62CF
1,0x46728e4dE9F6b017A1587842fE558DAE348eD863
1,0xe7BD79a96f443Fe2b556b6b0F80f6121fd4435b4
1,0xD04c692878E2D20afAbF90372d6B11A332b932C9
1,0xEf2bA5fcE74010bF0FB3e5C3bE252f5f89DA25Da
1,0xC13ccf23E4e4709E41fC468a8C7e353c69bf94EF
1,0x08429f8c87B0C34E84Fb8071333afC5567F3C0Da
1,0x7a9a1a4bbe0Da993dd7aE984d8C6180a673cBecB
1,0x6c7c058a2266d0d013836436ACF25C48F08359c7
