
1044327,1743840779,41416957,981839573,98.18%%
1044328,1743840791,41787613,965012894,96.50%%
1044329,1743840803,28750745,913768494,91.37%%
1044330,1743840839,57286242,937177100,93.71%%
1044331,1743840875,77293527,1012911416,101.29%%
1044332,1743840887,11331485,910449101,91.04%%
1044333,1743840899,42196219,895872172,89.58%%
1044334,1743840911,53502115,909470173,90.94%%
1044335,1743840923,25439602,852867806,85.28%%
1044336,1743840947,70588134,906012688,90.60%%
1044337,1743840959,4736486,797880386,79.78%%
1044338,1743840971,28730909,755467445,75.54%%
1044339,1743840995,81632510,825560407,82.55%%
1044340,1743841007,6517678,731086627,73.10%%
1044341,1743841019,51533994,738214074,73.82%%
1044342,1743841031,11635747,664158736,66.41%%
1044343,1743841067,53323691,673912766,67.39%%
1044344,1743841091,66503873,708313340,70.83%%
1044345,1743841103,5234843,624750177,62.47%%
1044346,1743841139,80596029,680928718,68.09%%
1044347,1743841163,65130531,713107666,71.31%%
1044348,1743841187,66103108,748720589,74.87%%
1044349,1743841211,77014001,808648173,80.86%%
1044350,1743841223,5115815,712982496,71.29%%
1044351,1743841235,40068782,697382729,69.73%%
1044352,1743841235,119313,605267606,60.52%%
1044353,1743841247,29563700,574483924,57.44%%
1044354,1743841259,28281581,543233973,54.32%%
1044355,1743841271,10895195,487628639,48.76%%
1044356,1743841283,82877636,534546221,53.45%%
1044357,1743841295,3957753,469599967,46.95%%
1044358,1743841307,49547062,471604139,47.16%%
1044359,1743841319,14732348,428322955,42.83%%
1044360,1743841331,32697170,410241121,41.02%%
1044361,1743841343,31034226,391040634,39.10%%
1044362,1743841355,47710945,390728816,39.07%%
1044363,1743841379,41461860,383681415,38.36%%
1044364,1743841403,57291130,393515606,39.35%%
1044365,1743841415,8045931,350142318,35.01%%
1044366,1743841427,69595120,371001611,37.10%%
1044367,1743841439,5453812,327456859,32.74%%
1044368,1743841451,52092794,331154062,33.11%%
1044369,1743841463,18606767,304302051,30.43%%
1044370,1743841475,42158713,299398477,29.93%%
1044371,1743841499,78115147,324271808,32.42%%
1044372,1743841523,13412400,293331189,29.33%%
1044373,1743841547,54446808,298547966,29.85%%
1044374,1743841559,83126143,327477668,32.74%%
1044375,1743841571,3697565,287454758,28.74%%
1044376,1743841595,59866496,296864795,29.68%%
1044377,1743841607,29807464,281965995,28.19%%
1044378,1743841631,55885904,288100049,28.81%%
1044379,1743841643,33218715,276352294,27.63%%
1044380,1743841679,54934046,281638561,28.16%%
1044381,1743841703,74459032,302195831,30.21%%
1044382,1743841727,38621058,294377003,29.43%%
1044383,1743841775,53593088,298919084,29.89%%
1044384,1743841787,92355404,335495366,33.54%%
1044385,1743841799,3662400,294460022,29.44%%
1044386,1743841823,49394303,295592638,29.55%%
1044387,1743841847,60546778,305823805,30.58%%
1044388,1743841871,48599108,306329252,30.63%%
1044389,1743841883,31944358,292761262,29.27%%
1044390,1743841907,67978897,308896838,30.88%%
1044391,1743841919,10656461,277074777,27.70%%
1044392,1743841931,40491311,271335457,27.13%%
1044393,1743841943,19406844,249932784,24.99%%
1044394,1743841979,63830475,260847603,26.08%%
1044395,1743841991,19155638,240091436,24.00%%
1044396,1743842003,82467050,262920082,26.29%%
1044397,1743842039,54072160,267324274,26.73%%
1044398,1743842051,4578292,235302553,23.53%%
1044399,1743842063,55849891,240398086,24.03%%
1044400,1743842075,35450697,232075660,23.20%%
1044401,1743842087,45313563,230355751,23.03%%
1044402,1743842099,27240252,217163452,21.71%%
1044403,1743842111,21158710,201083325,20.10%%
1044404,1743842123,34398436,193538238,19.35%%
1044405,1743842135,37602884,187987139,18.79%%
1044406,1743842159,69618700,199198467,19.91%%
1044407,1743842171,5727737,175968914,17.59%%
1044408,1743842183,49560187,176726290,17.67%%
1044409,1743842207,47697117,176578626,17.65%%
1044410,1743842219,34814621,170155742,17.01%%
1044411,1743842243,15439712,154871841,15.48%%
1044412,1743842267,53943464,157411126,15.74%%
1044413,1743842279,74780302,169040337,16.90%%
1044414,1743842303,41855392,166174946,16.61%%
1044415,1743842315,38257312,161708690,16.17%%
1044416,1743842327,43650687,159768460,15.97%%
1044417,1743842339,35043105,154057734,15.40%%
1044418,1743842351,32971008,147670502,14.76%%
1044419,1743842363,30453819,140522648,14.05%%
1044420,1743842375,20460654,129846876,12.98%%
1044421,1743842387,36634489,125775701,12.57%%
1044422,1743842399,32831791,120512737,12.05%%
1044423,1743842423,68151198,127212095,12.72%%
1044424,1743842435,11626556,114447349,11.44%%
1044425,1743842447,48066546,114468358,11.44%%
